date,time,lat,lon,depth,ML,fixed,quality
1990-01-02,0 days 06:26:52,23.0666,121.3861,10.74,4.01,N,C
1990-01-04,0 days 13:05:02,24.1828,121.8296,8.92,4.54,N,C
1990-01-04,0 days 18:08:57,23.429,121.923,10.0,4.4,n,
1990-01-07,0 days 16:43:27,22.1406,121.1856,42.02,4.6,N,C
1990-01-11,0 days 11:19:36,22.2973,121.0245,1.47,4.08,N,C
1990-01-15,0 days 12:42:30,24.3596,121.932,20.13,5.23,N,C
1990-01-15,0 days 23:53:21,22.037,121.0805,49.04,4.08,N,C
1990-01-18,0 days 08:49:45,24.39,121.9725,13.88,4.02,N,C
1990-01-20,0 days 02:11:33,24.5733,122.3115,0.75,4.59,N,C
1990-01-20,0 days 07:02:39,22.8068,121.0895,0.1,4.01,N,B
1990-01-21,0 days 08:12:08,22.6418,121.34,21.57,4.17,N,B
1990-01-21,0 days 09:49:20,23.6221,121.6236,27.53,4.03,N,C
1990-01-23,0 days 03:15:42,24.6585,122.4956,96.03,4.63,N,C
1990-01-23,0 days 17:29:00,22.672,120.8871,0.5,4.13,N,B
1990-01-25,0 days 21:34:59,21.9983,121.1688,31.31,4.86,N,C
1990-01-31,0 days 20:37:42,22.7335,121.317,30.11,4.29,N,B
1990-02-01,0 days 03:33:44,24.5321,122.7568,11.79,4.49,N,D
1990-02-01,0 days 22:28:47,23.3446,120.4125,15.0,4.2,N,C
1990-02-01,0 days 23:07:47,23.8956,121.7646,10.43,4.33,N,C
1990-02-02,0 days 03:04:56,22.6926,121.5783,17.41,4.04,N,B
1990-02-14,0 days 07:58:11,24.0445,122.4313,8.7,4.55,N,C
1990-02-15,0 days 05:11:57,22.7455,122.6335,4.13,4.91,N,C
1990-02-15,0 days 20:23:14,24.0273,122.6236,8.97,4.11,N,C
1990-02-16,0 days 04:26:00,23.9083,121.7171,24.36,4.29,N,C
1990-02-19,0 days 05:50:41,24.2555,122.7455,29.7,4.55,N,C
1990-02-21,0 days 22:14:59,21.389,121.3143,52.46,4.71,N,C
1990-02-25,0 days 12:57:07,23.4235,121.7245,33.77,4.4,N,C
1990-03-02,0 days 11:31:59,21.3195,121.4551,78.23,4.89,N,D
1990-03-06,0 days 15:07:53,23.747,121.99,33.0,4.1,n,
1990-03-06,0 days 16:06:39,22.4333,122.5695,13.84,4.59,N,C
1990-03-11,0 days 11:40:15,22.5271,121.3431,24.58,4.21,N,B
1990-03-14,0 days 16:32:58,21.6173,121.5786,88.14,4.49,N,C
1990-03-14,0 days 18:35:58,23.9481,122.8001,18.38,4.25,N,C
1990-03-16,0 days 15:58:09,22.6693,120.8915,0.45,4.03,N,B
1990-03-20,0 days 08:08:56,22.6583,120.8868,0.4,4.27,N,B
1990-03-22,0 days 11:08:32,22.7585,121.0855,1.96,4.12,N,B
1990-03-24,0 days 03:08:06,22.8028,121.1238,0.32,4.01,N,B
1990-03-25,0 days 03:23:47,22.4361,121.9585,42.56,4.03,N,C
1990-03-25,0 days 07:24:18,22.0776,121.9286,0.35,4.57,N,C
1990-04-01,0 days 18:01:54,22.07,121.4585,38.21,4.11,N,C
1990-04-05,0 days 00:21:14,23.536,121.8285,18.67,4.64,N,C
1990-04-09,0 days 02:49:33,22.8913,121.4761,27.73,4.7,N,C
1990-04-10,0 days 17:00:58,22.1798,119.9056,42.64,4.31,N,C
1990-04-11,0 days 20:54:23,24.8316,122.1288,85.98,4.27,N,D
1990-04-15,0 days 22:44:09,24.3568,121.99,22.05,4.55,N,C
1990-04-20,0 days 15:34:09,24.7045,122.5278,89.7,4.08,N,C
1990-04-23,0 days 12:04:48,23.9148,122.379,3.51,4.12,N,C
1990-04-26,0 days 16:05:30,24.7185,122.027,55.59,4.03,N,C
1990-05-02,0 days 17:50:49,22.5006,121.024,7.97,4.57,N,C
1990-05-03,0 days 22:39:51,24.682,122.492,8.25,4.5,N,C
1990-05-04,0 days 17:32:02,21.8103,121.6046,63.97,4.35,N,C
1990-05-04,0 days 22:21:56,22.439,122.2385,16.84,4.49,N,C
1990-05-05,0 days 08:33:30,25.2005,122.6453,201.19,4.04,N,C
1990-05-07,0 days 01:18:50,24.4203,122.8435,27.99,4.61,N,C
1990-05-10,0 days 04:41:56,23.8918,122.6773,15.69,4.32,N,C
1990-05-13,0 days 04:39:43,23.4596,122.9338,3.58,4.29,N,C
1990-05-16,0 days 07:28:00,24.3593,122.5033,37.26,4.35,N,D
1990-05-20,0 days 15:03:09,24.522,122.723,5.14,4.04,N,C
1990-05-22,0 days 11:37:48,23.1183,120.3431,17.29,4.55,N,C
1990-05-23,0 days 12:52:40,21.8606,120.9793,10.68,4.94,N,C
1990-05-25,0 days 13:53:44,23.0365,120.7861,5.97,4.04,N,C
1990-05-27,0 days 06:52:56,23.0208,121.9536,17.55,4.08,N,C
1990-05-30,0 days 12:38:52,24.1788,122.6731,28.55,4.77,N,C
1990-06-01,0 days 16:43:31,23.919,122.078,10.0,4.4,n,
1990-06-05,0 days 23:48:50,24.6896,122.8878,96.91,4.16,N,D
1990-06-09,0 days 23:25:30,24.3316,121.9775,22.33,4.19,N,C
1990-06-11,0 days 14:48:00,23.6776,121.5708,0.5,4.06,N,C
1990-06-13,0 days 23:48:56,24.6735,122.461,7.98,4.57,N,C
1990-06-14,0 days 02:49:49,24.731,122.659,10.0,4.3,n,
1990-06-15,0 days 12:41:02,21.124,119.649,33.0,4.5,n,
1990-06-16,0 days 10:53:56,24.5513,122.785,86.44,4.17,N,C
1990-06-18,0 days 00:25:26,22.1206,120.284,7.81,4.62,N,C
1990-06-18,0 days 11:42:34,24.8273,122.3433,0.74,4.66,N,C
1990-06-20,0 days 12:45:18,23.7291,121.6775,28.6,4.48,N,C
1990-06-25,0 days 04:50:51,23.163,122.9773,7.95,4.25,N,C
1990-06-25,0 days 18:39:57,22.6691,121.0445,1.5,4.17,N,B
1990-06-26,0 days 16:08:38,22.02,121.5815,1.17,4.35,N,C
1990-06-26,0 days 18:41:22,22.4971,121.38,25.26,4.25,N,C
1990-06-29,0 days 06:06:27,23.9151,122.6141,16.34,4.43,N,C
1990-06-30,0 days 07:45:02,24.323,122.8223,7.71,4.76,N,C
1990-07-03,0 days 04:54:40,23.9223,122.7121,15.58,4.22,N,C
1990-07-06,0 days 09:16:47,22.7115,120.8961,0.73,4.25,N,B
1990-07-09,0 days 08:25:17,24.1321,122.4186,6.44,4.7,N,C
1990-07-15,0 days 19:11:02,23.2908,120.6436,6.16,4.07,N,B
1990-07-16,0 days 07:12:23,24.1991,121.8308,0.81,5.05,N,C
1990-07-16,0 days 19:14:51,24.184,121.804,1.39,5.15,N,C
1990-07-16,0 days 19:29:52,24.1733,121.8233,1.21,4.38,N,C
1990-07-17,0 days 13:27:52,24.2088,121.79,1.73,4.13,N,C
1990-07-17,0 days 18:54:36,23.9336,122.5771,12.01,4.33,N,C
1990-07-18,0 days 09:38:23,24.187,121.7595,0.47,4.55,N,C
1990-07-21,0 days 12:06:53,23.8808,121.7275,12.19,4.57,N,C
1990-07-22,0 days 01:15:59,21.857,120.5286,43.69,4.45,N,C
1990-07-23,0 days 17:59:48,24.7993,121.99,96.91,4.55,N,C
1990-07-23,0 days 22:32:18,23.7953,122.153,31.49,4.26,N,C
1990-07-29,0 days 03:56:34,21.9513,120.9628,10.65,4.15,N,C
1990-07-31,0 days 19:55:27,23.8506,122.6583,3.98,4.05,N,C
1990-08-03,0 days 03:29:36,21.8838,121.8576,21.43,4.23,N,C
1990-08-05,0 days 21:38:35,23.9056,122.9146,9.27,4.64,N,C
1990-08-06,0 days 10:37:26,23.8691,122.3815,8.95,4.02,N,D
1990-08-07,0 days 20:43:23,22.5361,120.8803,46.3,4.69,N,A
1990-08-08,0 days 23:52:45,23.1308,120.958,0.84,4.05,N,B
1990-08-09,0 days 21:02:18,24.102,122.0646,9.13,4.34,N,C
1990-08-14,0 days 11:07:50,24.6436,121.9876,60.44,4.58,N,C
1990-08-15,0 days 12:46:19,23.9395,122.4356,3.15,4.06,N,C
1990-08-16,0 days 16:07:42,24.186,121.706,10.0,4.8,n,
1990-08-17,0 days 11:05:36,23.8551,122.203,18.57,4.59,N,C
1990-08-20,0 days 16:45:15,24.811,122.18,10.0,4.6,n,
1990-08-20,0 days 18:06:41,24.4858,122.7841,8.68,4.59,N,C
1990-08-21,0 days 16:00:58,22.5978,121.9698,20.7,5.01,N,C
1990-08-27,0 days 00:05:56,22.603,121.514,33.0,4.5,n,
1990-08-27,0 days 12:21:59,24.001,122.438,10.0,4.3,n,
1990-08-30,0 days 22:28:19,21.8153,121.2331,28.24,4.1,N,D
1990-09-03,0 days 22:27:32,24.7465,122.4131,98.7,4.44,N,C
1990-09-03,0 days 23:02:23,22.38,121.0226,0.63,4.16,N,B
1990-09-05,0 days 12:49:39,25.162,122.4066,220.36,4.02,N,C
1990-09-06,0 days 02:53:48,23.6436,121.7811,40.09,4.33,N,C
1990-09-07,0 days 07:03:00,22.0173,122.6118,9.19,4.04,N,D
1990-09-08,0 days 21:38:44,24.6981,122.4911,16.63,4.52,N,C
1990-09-11,0 days 14:09:03,22.8136,120.7998,24.16,5.35,N,B
1990-09-15,0 days 01:04:24,24.8801,122.5055,125.52,4.02,N,C
1990-09-15,0 days 01:22:36,24.8735,122.1091,1.49,4.98,N,C
1990-09-18,0 days 19:06:12,24.8411,122.1925,4.99,4.5,N,C
1990-09-24,0 days 06:36:43,23.645,122.495,7.3,4.13,N,C
1990-09-28,0 days 07:18:48,22.456,121.5628,8.81,4.1,N,C
1990-09-28,0 days 17:20:39,24.5668,122.9366,66.42,4.11,N,C
1990-09-30,0 days 21:04:14,24.5881,122.9176,18.66,4.29,N,C
1990-10-05,0 days 05:06:42,23.129,121.4663,15.77,4.02,N,C
1990-10-20,0 days 02:52:11,24.0456,122.26,3.46,4.33,N,C
1990-10-20,0 days 13:29:42,24.2926,122.6133,35.84,4.08,N,D
1990-10-20,0 days 21:56:42,22.1625,121.6875,0.46,4.54,N,C
1990-10-21,0 days 14:11:05,25.2988,122.5801,244.2,4.06,N,C
1990-10-21,0 days 16:05:19,23.8086,121.5218,6.72,4.31,N,C
1990-10-24,0 days 10:53:03,23.086,120.829,1.66,4.14,N,B
1990-10-24,0 days 19:57:35,23.9828,122.3803,7.41,4.5,N,C
1990-10-24,0 days 20:20:05,23.9608,122.3938,6.48,4.53,N,C
1990-10-28,0 days 06:53:53,21.7905,121.245,40.31,4.01,N,C
1990-10-28,0 days 19:48:02,23.9016,122.7808,7.96,4.01,N,C
1990-10-30,0 days 06:18:37,22.7968,122.063,23.49,4.14,N,C
1990-10-30,0 days 16:01:33,22.07,121.4848,73.79,4.1,N,C
1990-10-30,0 days 17:38:31,24.0223,121.5701,17.67,4.03,N,C
1990-11-03,0 days 14:23:49,24.3753,122.7493,23.73,4.06,N,C
1990-11-07,0 days 03:44:25,22.0638,122.253,0.8,4.24,N,C
1990-11-11,0 days 01:26:54,22.7573,120.8248,28.82,4.03,N,B
1990-11-11,0 days 23:59:06,24.0951,121.7355,34.33,5.36,N,C
1990-11-12,0 days 14:55:00,24.1058,122.4906,17.91,4.21,N,C
1990-11-17,0 days 13:05:31,24.6665,122.455,6.74,4.72,N,C
1990-11-17,0 days 20:59:05,24.6731,122.4901,8.42,4.01,N,C
1990-11-20,0 days 15:01:39,21.456,121.06,68.88,4.71,N,C
1990-11-20,0 days 19:10:02,24.6681,122.517,8.77,4.1,N,C
1990-11-24,0 days 07:29:39,23.9941,121.6555,23.7,4.21,N,C
1990-11-24,0 days 12:12:35,22.1486,121.4993,0.25,4.29,N,C
1990-11-24,0 days 15:13:16,21.689,121.4655,88.97,4.13,N,C
